Expenditure Category,1 Year CAGR,2 Year CAGR,3 Year CAGR,5 Year CAGR,10 Year CAGR,23 Year CAGR
AGING,7.37,7.6,6.23,9.99,4.8,14.77
AGRICULTURE,-7.33,-6.19,-7.75,3.56,-0.85,-0.43
BUS & PROFESSION REGULATION,2.68,0.18,0.92,-4.06,-3.07,0.49
CAPITAL IMPROVEMENT,47.65,33.13,26.68,37.78,2.16,2.72
CENTRAL MANAGEMENT,14.48,20.65,10.93,13.64,5.9,9.7
CHILDREN AND FAMILY SERVICES,5.21,6.3,6.3,3.69,0.72,-0.21
COMMERCE AND ECONOMIC OPPORTUNITY,205.88,81.45,56.14,29.92,5.06,10.71
CORRECTIONS,4.98,1,-6.1,11.1,2.42,3.87
DEBT SERVICE,4.06,-0.64,0.93,1.23,2.13,12.58
ELECTED OFFICERS,5.29,0.54,3.51,6.03,3.68,7.35
EMPLOYMENT SECURITY,38.42,21.62,11.45,9.77,1.34,4.69
ENVIRONMENTAL PROTECT AGENCY,-6.39,-10.75,-9.63,-3.87,-1.42,6.45
HEALTHCARE & FAM SER NET OF MEDICAID,13.01,-12.28,-2.22,2.01,-3.15,10.06
HUMAN SERVICES,9.26,7.94,6.43,5.29,1.37,4.82
IL COMMUNITY COLLEGE BOARD,3.58,7.46,6.03,28.63,0.06,2.71
IL STATE TOLL HIGHWAY AUTH,2.38,5.89,10.19,-2.66,10.25,14.38
IL STUDENT ASSISTANCE COMM,-4.94,1.44,0.64,9.48,-2.2,1.62
JUDICIAL,8.55,11.65,6.4,5.97,3.55,5.45
K-12 EDUCATION,7.73,6.99,5.2,5.46,2.45,7.75
LEGISLATIVE,4.66,6.56,5.81,3.68,2.38,5.68
Local Govt Transfers,11.2,4.93,5.11,2.87,2.64,7.39
MEDICAID,17.89,17.52,12.23,9.06,6.38,14.34
"NATURAL RESOURCES",4.07,0.99,4.23,10.93,2.02,2.21
OTHER BOARDS & COMMISSIONS,17.91,3.83,4.15,2.99,-4.4,7.82
OTHER DEPARTMENTS,37.95,3.96,-2.15,5.37,21.67,6.87
PUBLIC HEALTH,69.52,47.52,35.85,22.34,11.58,15.29
PUBLIC SAFETY,35.19,41.13,30.9,22.39,9.6,12.95
REVENUE,49.75,68.74,48.44,33,8.53,13.51
State Employee Healthcare,-6.28,-6.24,-23.51,83.61,4.37,12.43
STATE PENSION CONTRIBUTION,6.52,8.17,8.66,6.11,11.72,20.67
TRANSPORTATION,32.4,25.59,14.58,4.23,1.58,7.71
UNIVERSITY EDUCATION,1.76,3.29,2.75,25.91,-1.12,-0.69
