year,AGING ($ mil.),AGRICULTURE ($ mil.),CENTRAL MANAGEMENT ($ mil.),CHILDREN AND FAMILY SERVICES ($ mil.),COMMERCE AND ECONOMIC OPPORTUNITY ($ mil.),NATURAL RESOURCES ($ mil.),CORRECTION ($ mil.)S,EMPLOYMENT SECURITY ($ mil.),HUMAN SERVICES ($ mil.),HEALTHCARE & FAM SER NET OF MEDICAID ($ mil.),PUBLIC HEALTH ($ mil.),REVENUE ($ mil.),TRANSPORTATION ($ mil.),ENVIRONMENTAL PROTECT AGENCY ($ mil.),IL STATE TOLL HIGHWAY AUTH ($ mil.),IL COMMUNITY COLLEGE BOARD ($ mil.),IL STUDENT ASSISTANCE COMM ($ mil.),LEGISLATIVE ($ mil.),JUDICIAL ($ mil.),ELECTED OFFICERS ($ mil.),PUBLIC SAFETY ($ mil.),BUS & PROFESSION REGULATION ($ mil.),MEDICAID ($ mil.),CAPITAL IMPROVEMENT ($ mil.),OTHER DEPARTMENTS ($ mil.),OTHER BOARDS & COMMISSIONS ($ mil.),K-12 EDUCATION ($ mil.),UNIVERSITY EDUCATION ($ mil.),DEBT SERVICE ($ mil.),STATE EMPLOYEE HEALTHCARE ($ mil.),STATE PENSION CONTRIBUTION ($ mil.),LOCAL GOVT REVENUE SHARE ($ mil.),Total
1998,214.6375629,73.17254781,354.3674726,1289.563391,462.7254964,191.8757397,957.6260071,166.4870369,3881.039127,109.5875071,157.6013926,411.7968756,1956.822151,305.3059705,367.4203293,284.5138208,479.980443,59.49046214,262.711135,398.3976627,424.4396343,143.4613564,5398.440578,255.8719265,395.8153762,92.133555,5068.577868,1315.196189,484.5338348,608.5591718,914.5764656,3476.473406,30963.20149
1999,235.7606482,87.70510555,395.8144933,1329.344856,522.9768173,228.0307978,1044.704655,166.2003526,4052.750163,114.2579308,164.0231641,430.0348278,1864.182863,314.3529605,461.1122299,304.9574321,488.039303,62.18552442,289.3037928,426.2108523,444.1801632,153.4832728,5767.257734,399.6674032,370.2527189,104.0424645,5587.951653,1390.767623,507.5276232,650.3491427,1148.021134,4031.516443,33536.96614
2000,260.4630145,102.4997077,405.9484028,1341.543402,703.3941215,267.7414225,1125.87422,169.7855022,4158.557755,134.4223804,179.2080976,435.0732464,2447.329654,352.4594977,434.67865,308.6425055,502.1613596,67.9300845,325.1410268,470.3569179,467.1191649,123.8858586,6442.316504,828.0920161,374.4992532,128.6314375,6024.689288,1468.733556,543.8405291,795.2113293,1246.675321,4366.141014,37003.04624
2001,283.6808037,113.9536331,404.8523577,1357.08359,762.4495431,307.9027367,1200.026463,268.9662898,4472.465104,133.2336292,220.5126645,515.2117616,2682.18712,385.5018183,346.139195,327.9665253,545.6220564,73.03187406,335.0884964,538.3159079,488.5880947,130.1371148,7187.341485,889.8100962,380.8762277,136.4712894,6389.909901,1550.454089,590.0442397,849.6254587,1363.443996,4471.933559,39702.82712
2002,297.1433679,114.707696,393.54316,1344.74205,810.1439976,347.3659443,1256.163786,324.2663003,4481.840169,139.4968697,263.8099773,659.3818061,3186.218157,462.0491001,392.7438782,402.5394394,590.4946426,78.64442212,366.6611057,560.392471,486.072573,132.6089156,7291.78917,1149.071483,363.074803,140.3038457,6629.893695,1663.169649,640.2570489,896.0299397,1475.612411,4300.100669,41640.33254
2003,303.7034026,89.70322203,395.0133813,1281.918999,828.4199969,311.5891543,1171.97992,361.7047658,4397.816414,287.8951252,239.8245613,520.6695168,3254.999084,458.7148169,360.7329391,417.723447,579.6235622,72.29653344,360.6154008,541.5031993,499.0675997,131.2831041,7900.568223,1075.289288,365.9401367,88.79294982,6690.741515,1554.781423,731.2021836,1139.153519,1620.815423,4119.488209,42153.57102
2004,313.5735466,81.37536889,474.5009068,1251.765223,924.2960304,270.5925933,1193.81497,191.0520068,4585.209988,277.1234902,262.3816969,788.500596,2970.484855,555.0230326,417.1886594,388.4117264,557.8321289,72.56537508,355.7858926,512.8467261,469.6042647,122.0427061,10061.41306,832.1138124,88.725176,84.84035117,7125.335123,1426.971502,1288.584262,1242.637808,9050.968809,4256.605608,52494.1673
2005,401.9191548,70.30821821,579.3160014,1209.53078,420.1163554,232.7743323,1170.704933,169.5050102,4670.966207,462.0900627,285.8395786,685.2530124,2624.725503,372.053755,479.3201822,394.8518902,565.8013863,73.66496575,368.2918976,516.5809987,525.6615779,155.0539471,9529.546223,580.0001924,86.956387,91.8099754,7569.850294,1353.799691,1351.817316,1329.946377,1738.123116,4674.178672,44740.35799
2006,420.0285499,81.00146229,671.2957645,1227.48177,592.3198015,233.4088443,1185.021966,178.8245942,4793.767672,579.263655,290.6634791,799.4767474,2761.479055,368.4766643,1073.754714,395.9734441,598.2313277,76.02374542,334.7501991,575.261869,594.5191863,162.4975214,10465.75245,491.2358373,89.93254464,158.6532089,7873.512477,1345.218576,1415.453273,1421.44487,889.8309122,5203.777024,47348.33321
2007,487.7904627,81.85481425,691.1957559,1242.997458,597.0507254,253.6090063,1122.663654,168.83511,4877.168047,530.8543349,323.3907566,817.903392,2999.623683,407.5130903,1432.879386,401.0033325,678.2439158,81.61220353,344.6850341,629.1917965,734.2666427,184.301609,11198.4622,387.2645958,98.58882475,145.0415424,8266.381154,1363.908002,1417.20833,1533.414207,1281.433807,5578.122854,50358.45973
