year,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds ($ mil.)","CORPORATE INCOME TAXES, gross of PPRT, net of refunds ($ mil.)","SALES TAXES, gross of local share ($ mil.)","MOTOR FUEL TAX, gross of local share, net of refunds ($ mil.)","PUBLIC UTILITY TAXES, gross of PPRT ($ mil.)",CIGARETTE TAXES ($ mil.),LIQUOR GALLONAGE TAXES ($ mil.),INHERITANCE TAX ($ mil.),"INSURANCE TAXES&FEES&LICENSES, net of refunds ($ mil.)",CORP FRANCHISE TAXES & FEES ($ mil.),MEDICAL PROVIDER ASSESSMENTS ($ mil.),LOTTERY RECEIPTS ($ mil.),OTHER TAXES ($ mil.),RECEIPTS FROM REVENUE PRODUCNG ($ mil.),"LICENSES, FEES & REGISTRATIONS ($ mil.)",MOTOR VEHICLE AND OPERATORS ($ mil.),RIVERBOAT WAGERING TAXES ($ mil.),GIFTS AND BEQUESTS ($ mil.),FEDERAL OTHER ($ mil.),FEDERAL MEDICAID ($ mil.),FEDERAL TRANSPORTATION ($ mil.),"ALL OTHER SOURCES, adjusted ($ mil.)",Total
1998,6333.82100946,1631.22351697,7198.4008548,1290.7320743399998,1193.32776505,464.24209418,57.033945530000004,246.03420394,132.33733757,122.77171484,543.15383701,834.69492952,235.33585706999997,727.72515399,306.2024185,747.43720951,210.49650906,138.10764785,3743.89781129,3339.058569,835.15853064,812.38035872,31143.57334884
1999,6608.85493571,1577.38463104,7646.72795974,1316.46864246,1423.40239839,499.05601972,57.23468337,342.80186397,248.56499406,121.34756702000001,548.5762785,844.8850225900001,244.38857693999998,715.98572279,336.41387583999995,773.00301611,309.82945875999997,157.97435822999998,3913.79917127,3599.680071,725.98535545,889.32398687,32901.68858983
2000,6910.387768099999,1697.62575131,8218.14786839,1339.87313847,1524.36904966,467.34953768,127.86823993,340.94225457,266.34261982,143.9241533,649.1760273,814.2805805700001,240.44702143000004,736.81247463,419.80847668,973.43027835,435.97841569999997,180.34686223999998,4212.64024843,3763.4157959999998,927.46996978,1323.19869899,35713.83523133
2001,7155.534456799999,1550.2849860299998,8175.164488689999,1353.93477345,1605.87778177,472.6152376,124.31482256999999,353.53883381,293.07162922,150.68925959999999,678.1500717,765.0459256900001,247.76642211,743.05298839,542.7405273400001,1134.5203038999998,490.70986486000004,202.979996,4293.9077712,4355.735472,1019.2127170499999,1288.80240671,36997.650736489995
2002,6638.629352439999,1172.3406908200002,8279.1115143,1357.86476187,1568.09848238,468.77614148000004,122.00049128,322.12213061,320.72374011,165.30385429,655.9115494,825.54162247,250.61215029,749.83969558,564.84888904,1177.66339353,540.31126469,250.13616222,4568.28594012,4484.163175,995.88892412,1181.9231436100001,36660.09706965
2003,6095.88299152,936.2045345600002,8227.82825575,1373.7878621300001,1439.25176115,699.75122168,122.76700165999999,230.39800558,369.55262021999994,147.42889426,817.97644467,817.04459676,249.17407289000002,742.14375061,556.59355913,1107.27569317,615.99417109,351.07418306,5009.95864181,4673.565524,846.3241898499999,1200.4886510699998,36630.46662662
2004,6170.381362099999,987.39500794,8636.674562870001,1405.89468027,1536.12153248,760.22728436,126.7708251,214.73488168,470.40779178,169.40772086,901.1003701000001,879.90447738,281.22354608,866.08120676,813.56877737,1161.74228229,708.20930996,538.6649821799999,5564.6619648000005,6359.505718,998.6016088800001,1116.09240658,40667.37229982
2005,6935.97003711,1604.3462577,8980.95868171,1419.8725139899998,1501.03244609,656.4726572000001,147.23757933000002,301.42127426,432.6171584,189.70325174,1601.3355031800002,903.4690904,315.96204826999997,823.60362002,876.14330347,1168.75717146,751.66480425,627.4336855299999,5312.856753550001,5853.287827,1001.76890581,1267.1951046400002,42673.109675110005
2006,7537.442891500001,2061.1800976100003,9638.33434263,1430.0524012100002,1549.56316699,640.3340616900001,152.29980713999998,263.12164236999996,403.41642145000003,189.12766363,889.6801049400001,981.06350821,344.70263651,878.30287548,808.43597915,1295.8877350999999,766.52790823,728.4933847,5210.83298897,5996.508283939999,1141.15335209,1592.73282355,44499.19407709
2007,8270.77771455,2644.6063210599996,9785.236293709999,1439.74362048,1604.1786106,638.7958567200001,155.68040566,255.39537929000002,406.41714458,201.36560369,1528.86352527,956.90566545,347.60109998,1108.44483147,794.3925912000001,1288.0728796699998,763.91749265,401.66252983,5523.92406363,6420.81657125,1159.12136956,2119.1174041,47815.0369744
2008,9105.354392459998,2934.79023362,9993.849863950001,1318.6547781,1635.5312374100001,613.65044847,158.06612816999998,363.79770984000004,399.21719261,234.49218889,2189.18955154,991.73254493,339.10373886,910.89907023,835.74432448,1301.54455822,639.86511133,428.39486643,5424.68992493,6888.9042975,1366.73868044,1908.91665727,49983.12749968
2009,7857.91925501,2539.64764213,9298.43626611,1451.39313651,1666.68127417,582.3265889099999,157.62122275,278.73998346999997,439.4030113,209.82929520999997,1723.94564901,988.5008575500001,284.02882542000003,876.78650939,756.76038089,1302.28596386,506.89941830000004,488.73209999,7950.31733342,7043.2293705,1383.9407853500002,1835.47283923,49622.89770848
2010,7174.1028657,2195.77824414,8789.064695,1318.2120912699997,1571.65448305,581.81664598,175.85254150999998,243.37897847,425.12647332999995,216.44339845,1574.87157598,1070.52556385,259.53098586,886.53099724,830.5223332999999,1369.98969485,442.01775380000004,560.36136551,9052.4480031,7326.5334165,1885.4697107199997,1619.19519237,49569.42700998
2011,9694.39050858,2964.54946943,9513.531541879998,1296.4166154299999,1624.16839028,588.26663329,182.26071769,122.24361025,422.42651293,215.04237085999998,1634.99420377,1091.02120474,282.21145687,1324.59909719,866.02642368,1493.52598723,443.1811121,912.7283426900001,8378.65026943,8124.2366335,1915.92925921,1366.10123473,54456.50159576
2012,14145.15175807,2707.63721308,10002.663751850001,1270.6527901099998,1480.6875609400001,606.42173985,279.2704248,226.50957926,443.48220215,199.60711452,1677.44122206,1272.6934683600002,298.21622198,1693.62570774,1026.86842061,1497.9516536800002,490.83917472,673.91949959,6413.799999,6528.295469,1844.5266901199998,1194.47530911,55974.7369706
2013,14804.314450159998,3923.8258205399998,10235.63980828,1241.85447511,1506.93880722,856.33797262,279.92998955,279.88089174000004,454.13061919999996,212.87555718000002,1656.30021243,1379.16294346,349.5113458100001,1985.9642045399999,1131.23333676,1462.17352145,515.70926705,780.08431341,6268.954413840001,8285.53164422,1704.99158732,1211.96982219,60527.315004079996
2014,14714.697719609998,3906.86364426,10654.34650818,1276.4210643600002,1454.4996584100002,859.86593195,279.58717856,259.09320991,454.12842906000003,211.14443114,2413.0468030399998,1334.94659297,469.47081214,1958.5712693399998,1191.35281353,1510.80157434,477.36714304000003,597.0448476,6462.11660582,8878.0439977,1738.3332169,1258.54202225,62360.28547411
2015,13994.04930108,3538.4633238,11148.458136770001,1276.25272324,1475.6799219700001,861.95373109,283.17717977999996,312.29700149,466.69615604999996,219.3942276,1961.2767806099998,1261.4795070599998,614.32460671,2116.04300415,1223.01810292,1539.2705857,466.24060280000003,699.82297333,6212.42931371,10491.23628361,2030.9343196999998,1536.7940598,63729.29184297
2016,11950.111091230001,2914.86042498,11307.024867859998,1334.82797463,1405.6592386099999,844.92884975,287.86510453,291.34919591,519.48857435,215.66423860000003,1951.69786961,1303.3672075,695.18981791,2196.9813344300005,1219.59435332,1551.97597525,442.75664284,937.0537914600001,5904.40240104,11246.69538979,1845.4318384399999,1258.19063598,61625.11681802
2017,11737.92530523,2389.03474639,11384.59206293,1328.74846203,1396.15754275,781.52928651,294.30435236,254.64607504,529.6620068899999,215.13147254000003,2137.62069041,1244.41732542,755.64697571,2221.40704684,1206.93901892,1585.4487883699999,439.52856610000003,1127.6678003499999,5933.826931510001,10448.32276429,2105.46272011,1484.38370291,61002.40364361
2018,16831.70226248,2862.2822526800005,11744.817931619998,1345.9332546400003,1431.4115712799999,764.29479104,296.16253167,344.36607768,560.76903001,215.84464005999996,2204.52808119,1260.7115748499998,819.7841100200001,2476.6726292,1218.89577773,1483.02002522,433.57407225,1206.51913064,5802.46394704,13474.61210265,1593.22014479,1755.71422069,70127.30015943
2019,18280.87739511,3669.9737528799997,12454.368637860001,1335.12015065,1474.32796026,769.47516647,297.24915266999994,377.18877446,521.99169543,256.69869957000003,2376.1845600099996,1326.4133212699999,896.93269988,2589.9790074000002,1178.2404801,1599.24628996,422.69140733,1114.5401427000002,5942.08160865,12066.82019685,1362.6759261900002,1494.35945424,71807.43647994
2020,17610.400794220004,3244.6956855699996,12252.25176529,2289.9889760300002,1424.11609276,850.56335983,302.77449139000004,270.54843202999996,477.93934333,219.11439228999998,3473.8385677200004,1158.6710565,822.9169479799999,2174.1956140700004,1419.25369478,1458.0913355,326.23720298,918.07353694,9705.12242953,13841.846912219999,1783.5205157,1768.27746308,77792.43860974
2021,21171.827231869996,5482.41926574,13865.55440418,2350.27687693,1369.42402377,917.04281503,312.10127911,436.96234756999996,629.21440121,332.05712143,3809.35655872,1483.83753136,884.7331525,2317.21269957,1971.3409143499998,1691.84525723,176.77904052000002,1498.28149288,9209.680510260001,17555.61878063,2379.56348973,1546.77320575,91391.90240034
