Year,type,Category,Dollars,Category_name
1998,rev,02,6333.82100946,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds"
1998,rev,03,1631.22351697,"CORPORATE INCOME TAXES, gross of PPRT, net of refunds"
1998,rev,06,7198.4008548,"SALES TAXES, gross of local share"
1998,rev,09,1290.7320743399998,"MOTOR FUEL TAX, gross of local share, net of refunds"
1998,rev,12,1193.32776505,"PUBLIC UTILITY TAXES, gross of PPRT"
1998,rev,15,464.24209418,CIGARETTE TAXES
1998,rev,18,57.033945530000004,LIQUOR GALLONAGE TAXES
1998,rev,21,246.03420394,INHERITANCE TAX
1998,rev,24,132.33733757,"INSURANCE TAXES&FEES&LICENSES, net of refunds "
1998,rev,27,122.77171484,CORP FRANCHISE TAXES & FEES
1998,rev,31,543.15383701,MEDICAL PROVIDER ASSESSMENTS
1998,rev,33,834.69492952,LOTTERY RECEIPTS
1998,rev,35,235.33585706999997,OTHER TAXES
1998,rev,36,727.72515399,RECEIPTS FROM REVENUE PRODUCNG
1998,rev,39,304.80131432,"LICENSES, FEES & REGISTRATIONS"
1998,rev,42,747.43720951,MOTOR VEHICLE AND OPERATORS
1998,rev,48,210.49650906,RIVERBOAT WAGERING TAXES
1998,rev,54,138.10764785,GIFTS AND BEQUESTS
1998,rev,57,3747.7925110799997,FEDERAL OTHER
1998,rev,58,3339.058569,FEDERAL MEDICAID
1998,rev,59,835.15853064,FEDERAL TRANSPORTATION
1998,rev,78,809.79386172,ALL OTHER SOURCES
1999,rev,02,6608.85493571,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds"
1999,rev,03,1577.38463104,"CORPORATE INCOME TAXES, gross of PPRT, net of refunds"
1999,rev,06,7646.72795974,"SALES TAXES, gross of local share"
1999,rev,09,1316.46864246,"MOTOR FUEL TAX, gross of local share, net of refunds"
1999,rev,12,1423.40239839,"PUBLIC UTILITY TAXES, gross of PPRT"
1999,rev,15,499.05601972,CIGARETTE TAXES
1999,rev,18,57.23468337,LIQUOR GALLONAGE TAXES
1999,rev,21,342.80186397,INHERITANCE TAX
1999,rev,24,248.56499406,"INSURANCE TAXES&FEES&LICENSES, net of refunds "
1999,rev,27,121.34756702000001,CORP FRANCHISE TAXES & FEES
1999,rev,31,548.5762785,MEDICAL PROVIDER ASSESSMENTS
1999,rev,33,844.8850225900001,LOTTERY RECEIPTS
1999,rev,35,244.38857693999998,OTHER TAXES
1999,rev,36,715.98572279,RECEIPTS FROM REVENUE PRODUCNG
1999,rev,39,328.44941536,"LICENSES, FEES & REGISTRATIONS"
1999,rev,42,773.00301611,MOTOR VEHICLE AND OPERATORS
1999,rev,48,309.82945875999997,RIVERBOAT WAGERING TAXES
1999,rev,54,157.97435822999998,GIFTS AND BEQUESTS
1999,rev,57,3924.45177475,FEDERAL OTHER
1999,rev,58,3599.680071,FEDERAL MEDICAID
1999,rev,59,725.98535545,FEDERAL TRANSPORTATION
1999,rev,78,886.52645639,ALL OTHER SOURCES
2000,rev,02,6910.387768099999,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds"
2000,rev,03,1697.62575131,"CORPORATE INCOME TAXES, gross of PPRT, net of refunds"
2000,rev,06,8218.14786839,"SALES TAXES, gross of local share"
2000,rev,09,1339.87313847,"MOTOR FUEL TAX, gross of local share, net of refunds"
2000,rev,12,1524.36904966,"PUBLIC UTILITY TAXES, gross of PPRT"
2000,rev,15,467.34953768,CIGARETTE TAXES
2000,rev,18,127.86823993,LIQUOR GALLONAGE TAXES
2000,rev,21,340.94225457,INHERITANCE TAX
2000,rev,24,266.34261982,"INSURANCE TAXES&FEES&LICENSES, net of refunds "
2000,rev,27,143.9241533,CORP FRANCHISE TAXES & FEES
2000,rev,31,649.1760273,MEDICAL PROVIDER ASSESSMENTS
2000,rev,33,814.2805805700001,LOTTERY RECEIPTS
2000,rev,35,240.44702143000004,OTHER TAXES
2000,rev,36,736.81247463,RECEIPTS FROM REVENUE PRODUCNG
2000,rev,39,402.69867629000004,"LICENSES, FEES & REGISTRATIONS"
2000,rev,42,973.43027835,MOTOR VEHICLE AND OPERATORS
2000,rev,48,435.97841569999997,RIVERBOAT WAGERING TAXES
2000,rev,54,180.34686223999998,GIFTS AND BEQUESTS
2000,rev,57,4232.72598512,FEDERAL OTHER
2000,rev,58,3763.4157959999998,FEDERAL MEDICAID
2000,rev,59,927.46996978,FEDERAL TRANSPORTATION
2000,rev,78,1320.12510973,ALL OTHER SOURCES
2001,rev,02,7155.534456799999,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds"
2001,rev,03,1550.2849860299998,"CORPORATE INCOME TAXES, gross of PPRT, net of refunds"
2001,rev,06,8175.164488689999,"SALES TAXES, gross of local share"
2001,rev,09,1353.93477345,"MOTOR FUEL TAX, gross of local share, net of refunds"
2001,rev,12,1605.87778177,"PUBLIC UTILITY TAXES, gross of PPRT"
2001,rev,15,472.6152376,CIGARETTE TAXES
2001,rev,18,124.31482256999999,LIQUOR GALLONAGE TAXES
2001,rev,21,353.53883381,INHERITANCE TAX
2001,rev,24,293.07162922,"INSURANCE TAXES&FEES&LICENSES, net of refunds "
2001,rev,27,150.68925959999999,CORP FRANCHISE TAXES & FEES
2001,rev,31,678.1500717,MEDICAL PROVIDER ASSESSMENTS
2001,rev,33,765.0459256900001,LOTTERY RECEIPTS
2001,rev,35,247.76642211,OTHER TAXES
2001,rev,36,743.05298839,RECEIPTS FROM REVENUE PRODUCNG
2001,rev,39,526.65658306,"LICENSES, FEES & REGISTRATIONS"
2001,rev,42,1134.5203038999998,MOTOR VEHICLE AND OPERATORS
2001,rev,48,490.70986486000004,RIVERBOAT WAGERING TAXES
2001,rev,54,202.979996,GIFTS AND BEQUESTS
2001,rev,57,4309.87829624,FEDERAL OTHER
2001,rev,58,4355.735472,FEDERAL MEDICAID
2001,rev,59,1019.2127170499999,FEDERAL TRANSPORTATION
2001,rev,78,1288.50641939,ALL OTHER SOURCES
2002,rev,02,6638.629352439999,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds"
2002,rev,03,1172.3406908200002,"CORPORATE INCOME TAXES, gross of PPRT, net of refunds"
2002,rev,06,8279.1115143,"SALES TAXES, gross of local share"
2002,rev,09,1357.86476187,"MOTOR FUEL TAX, gross of local share, net of refunds"
2002,rev,12,1568.09848238,"PUBLIC UTILITY TAXES, gross of PPRT"
2002,rev,15,468.77614148000004,CIGARETTE TAXES
2002,rev,18,122.00049128,LIQUOR GALLONAGE TAXES
2002,rev,21,322.12213061,INHERITANCE TAX
2002,rev,24,320.72374011,"INSURANCE TAXES&FEES&LICENSES, net of refunds "
2002,rev,27,165.30385429,CORP FRANCHISE TAXES & FEES
2002,rev,31,655.9115494,MEDICAL PROVIDER ASSESSMENTS
2002,rev,33,825.54162247,LOTTERY RECEIPTS
2002,rev,35,250.61215029,OTHER TAXES
2002,rev,36,749.83969558,RECEIPTS FROM REVENUE PRODUCNG
2002,rev,39,554.1946707999999,"LICENSES, FEES & REGISTRATIONS"
