Year,type,Category,Dollars,Category_name
1998,exp,402,214.89465187000002,AGING
1998,exp,406,74.44245309,AGRICULTURE
1998,exp,416,357.44415728,CENTRAL MANAGEMENT
1998,exp,418,1300.3150631300002,CHILDREN AND FAMILY SERVICES
1998,exp,420,463.91093514,COMMERCE AND ECONOMIC OPPORTUNITY
1998,exp,422,195.89166996,"NATURAL RESOURCES"
1998,exp,426,986.0430439600001,CORRECTIONS
1998,exp,427,172.00950532,EMPLOYMENT SECURITY
1998,exp,444,3926.60675342,HUMAN SERVICES
1998,exp,478,113.13410134,HEALTHCARE & FAM SER NET OF MEDICAID
1998,exp,482,160.29437475,PUBLIC HEALTH
1998,exp,492,418.34132202,REVENUE
1998,exp,494,1977.05282815,TRANSPORTATION
1998,exp,532,307.69228663999996,ENVIRONMENTAL PROTECT AGENCY
1998,exp,557,367.42032926,IL STATE TOLL HIGHWAY AUTH
1998,exp,901,559.1134994299999,STATE PENSION CONTRIBUTION
1998,exp,910,60.06311565,LEGISLATIVE
1998,exp,920,266.6174668,JUDICIAL
1998,exp,930,409.87717157,ELECTED OFFICERS
1998,exp,941,434.71899234,PUBLIC SAFETY
1998,exp,944,147.81268567,BUS & PROFESSION REGULATION
1998,exp,945,5398.44057766,MEDICAID
1998,exp,946,256.31984089,CAPITAL IMPROVEMENT
1998,exp,948,602.69723287,OTHER DEPARTMENTS
1998,exp,949,94.01091586,OTHER BOARDS & COMMISSIONS
1998,exp,959,5070.311411649999,K-12 EDUCATION
1998,exp,960,2080.48180087,UNIVERSITY EDUCATION
1998,exp,903,484.53383483,DEBT SERVICE
1998,exp,904,608.55917178,State Employee Healthcare
1998,exp,970,3476.47340622,Local Govt Transfers
1999,exp,402,236.13907723000003,AGING
1999,exp,406,89.65289181,AGRICULTURE
1999,exp,416,400.40963278000004,CENTRAL MANAGEMENT
1999,exp,418,1345.54881341,CHILDREN AND FAMILY SERVICES
1999,exp,420,524.73569501,COMMERCE AND ECONOMIC OPPORTUNITY
1999,exp,422,234.22231378,"NATURAL RESOURCES"
1999,exp,426,1102.83710188,CORRECTIONS
1999,exp,427,174.34279959,EMPLOYMENT SECURITY
1999,exp,444,4120.86663955,HUMAN SERVICES
1999,exp,478,119.96238431,HEALTHCARE & FAM SER NET OF MEDICAID
1999,exp,482,168.2348571,PUBLIC HEALTH
1999,exp,492,439.80083819,REVENUE
