fy,fund,fund_name,agency,agency_name,appr_org,org_name,obj_seq_type,appn_net_xfer,expenditure,data_source,object,category,sequence,type,trans_agency,trans_type,wh_approp_name,fund_cat,fund_cat_name.x,expenditurethrough6302022,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,refund,pension,eehc,group,group_name,year
1998,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,464489800,0,exp IOC 12.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,1998
1999,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,505798000,0,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,1999
2000,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,589085600,0,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2000
2001,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,650367100,0,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2001
2002,0001,GENERAL REVENUE,416,CENTRAL MANAGEMENT,20,BUREAU OF BENEFITS,11800000,685067100,0,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,416,416,2002
2002,0001,GENERAL REVENUE,601,BOARD OF HIGHER EDUCATION,01,GENERAL OFFICE,11800000,14753800,14753800,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2002
2003,0001,GENERAL REVENUE,601,BOARD OF HIGHER EDUCATION,01,GENERAL OFFICE,11800000,14753800,14753800,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2003
2003,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,2960315,2960315,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2003
2004,0001,GENERAL REVENUE,601,BOARD OF HIGHER EDUCATION,01,GENERAL OFFICE,11800000,14753800,14753800,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2004
2004,0001,GENERAL REVENUE,693,STATE UNIV RETIREMENT SYS,01,GENERAL OFFICE,11800000,3101100,3101100,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,948,OTHER DEPARTMENTS,2004
2005,0001,GENERAL REVENUE,620,NORTHEASTERN IL UNIVERSITY,01,GENERAL OPERATIONS,11800000,1072600,1072600,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,not refund,0,1,960,UNIVERSITY EDUCATION,2005
