fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag,med_option_recent,rev_type_new
1998,0001,492,0037,0,.,BINGO LICENSE FEES,300100,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
1999,0001,492,0037,0,.,BINGO LICENSE FEES,290760,rev_IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2000,0001,492,0037,0,.,BINGO LICENSE FEES,252980,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2001,0001,492,0037,0,.,BINGO LICENSE FEES,244070,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2002,0001,492,0037,0,.,BINGO LICENSE FEES,246180,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2003,0001,492,0037,0,.,BINGO LICENSE FEES,217490,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2004,0001,492,0037,0,.,BINGO LICENSE FEES,234810.62,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2005,0001,492,0037,0,.,BINGO LICENSE FEES,200759.68,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2006,0001,492,0037,0,.,BINGO LICENSE FEES,195244.64,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2007,0001,492,0037,0,9999,BINGO LICENSE FEES,177647.31,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2008,0001,492,0037,0,9999,BINGO LICENSE FEES,173700,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2009,0001,492,0037,0,9999,BINGO LICENSE FEES,158750,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2010,0001,492,0037,0,9999,BINGO LICENSE FEES,160342.25,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2011,0001,492,0037,0,9999,BINGO LICENSE FEES,148392.5,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2012,0001,492,0037,0,9999,BINGO LICENSE FEES,145154.45,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2013,0001,492,0037,0,9999,BINGO LICENSE FEES,144225.95,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2014,0001,492,0037,0,9999,BINGO LICENSE FEES,266175.28,rev IOC 15.09.28,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2015,0001,492,0037,0,9999,BINGO LICENSE FEES,127750,rev ioc 16.01.07,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2016,0001,492,0037,0,9999,BINGO LICENSE FEES,137045.5,rev ioc 16.08.04,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2017,0001,492,0037,0,9999,BINGO LICENSE FEES,131647.32,rev ioc 17.11.29,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2018,0001,492,0037,0,9999,BINGO LICENSE FEES,119253.45,NA,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2019,0001,492,0037,0,9999,BINGO LICENSE FEES,119660,rev ioc 12.11.2019,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2020,0001,492,0037,0,9999,BINGO LICENSE FEES,108750,rev ioc 03.11.2020,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
2021,0001,492,0037,NA,NA,BINGO LICENSE FEES,80125,NA,GENERAL REVENUE,REVENUE,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,BINGO LICENSE FEES,BINGO LICENSE FEES,BINGO LICENSE FEES,39,.,NA,0,NA,NA,0,39
