fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag
1998,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,11470507.3,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
1999,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,11272492.13,rev_IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2000,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,11791323.12,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2001,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,12068380.92,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2002,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,12462296.82,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2003,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,12779041.49,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2004,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,13768358.8,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2005,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,13309898.46,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2006,0477,275,0572,0,.,CONTRIBUTIONS BY EMPLOYEE,13851335.11,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2007,0477,275,0572,0,9999,CONTRIBUTIONS BY EMPLOYEE,14131734.05,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2008,0477,275,0572,0,9999,CONTRIBUTIONS BY EMPLOYEE,15367920.38,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2009,0477,275,0572,0,9999,CONTRIBUTIONS BY EMPLOYEE,15634304.67,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2010,0477,275,0572,0,9999,CONTRIBUTIONS BY EMPLOYEE,16001663.09,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
2011,0477,275,0572,0,9999,CONTRIBUTIONS BY EMPLOYEE,13505569.76,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,CONTRIBUTIONS BY EMPLOYEE,51,.,NA,NA,NA,NA
1998,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,12324616.61,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
1998,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1309115.21,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
1999,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,11038255.66,rev_IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
1999,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1339281.27,rev_IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2000,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,10582001.77,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2000,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1317541.89,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2001,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,11007433.12,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2001,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1383518.81,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2002,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,17536823.32,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2002,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1442568.42,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2003,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,26808360.07,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2003,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1611499.19,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2004,0479,589,0573,0,.,CURRENT YR/EMPLOYEE,67411440.27,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2004,0481,131,0573,0,.,CURRENT YR/EMPLOYEE,1469252.62,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
