"","fy","fund","agency","source","interfund_trans","from_fund","source_name.x","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","revenuesource","total","source_name_AWM","source_name.y","source_name_formula","rev_type","rev_type_name","amnesty","local","type_assigned","source_flag","med_option_recent","rev_type_new"
"1",2021,"0632","579","0002",NA,NA,"ADMIS TAX-RACETRACKS",10090.5,NA,"HORSE RACING","RACING BOARD","D","SPECIAL STATE FUNDS","0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1",NA,NA,"ADMIS TAX-RACETRACKS","ADMIS TAX-RACETRACKS","ADMIS TAX-RACETRACKS","78",".",NA,0,NA,NA,0,"78"
"2",2021,"0129","565","0003",NA,NA,"ADMIS TAX BOAT & GAMBLING",16071828,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1",NA,NA,"ADMIS TAX BOAT & GAMBLING","ADMIS TAX BOAT & GAMBLING","ADMIS TAX BOAT & GAMBLING","78",".",NA,0,NA,NA,0,"78"
"3",2021,"0816","493","0052",NA,NA,"FORFEITED OR SEIZED PROPERTY",1195543.48,NA,"MONEY LAUNDERING ASSET RECOVER","STATE POLICE","D","SPECIAL STATE FUNDS","0816","0816","0",NA,"1","MONEY LAUNDERING ASSET RECOVER","D","Special State Funds","1","1",NA,NA,"FORFEITED OR SEIZED PROPERTY","FORFEITED OR SEIZED PROPERTY","FORFEITED OR SEIZED PROPERTY","78",".",NA,0,NA,NA,0,"78"
"4",2021,"0543","360","0062",NA,NA,"CREMATORY",3600,NA,"COMPTROLLER'S ADMINISTRATIVE","COMPTROLLER","D","SPECIAL STATE FUNDS","0543","0543","0",NA,"1","COMPTROLLER'S ADMINISTRATIVE","D","Special State Funds","1","1",NA,NA,"CREMATORY","CREMATORY","CREMATORY","78",".",NA,0,NA,NA,0,"78"
"5",2021,"0457","416","0072",NA,NA,"CARRIER REFUNDS",5748615,NA,"GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT","I","STATE TRUST FUNDS","0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1",NA,NA,"CARRIER REFUNDS","CARRIER REFUNDS","CARRIER REFUNDS","78",".",NA,0,NA,NA,0,"78"
"6",2021,"0907","416","0072",NA,NA,"CARRIER REFUNDS",1932114.43,NA,"HEALTH INSURANCE RESERVE","CENTRAL MANAGEMENT","D","SPECIAL STATE FUNDS","0907","0907","0",NA,"1","HEALTH INSURANCE RESERVE","D","Special State Funds","1","1",NA,NA,"CARRIER REFUNDS","CARRIER REFUNDS","CARRIER REFUNDS","78",".",NA,0,NA,NA,0,"78"
"7",2021,"0930","492","0073",NA,NA,"DEFER REAL ESTATE TAX REIM",5424868.63,NA,"SENIOR CITIZEN REAL EST DEF TA","REVENUE","D","SPECIAL STATE FUNDS","0930","0930","0",NA,"1","SENIOR CITIZEN REAL EST DEF TA","D","Special State Funds","1","1",NA,NA,"DEFER REAL ESTATE TAX REIM","DEFER REAL ESTATE TAX REIM","DEFER REAL ESTATE TAX REIM","78",".",NA,0,NA,NA,0,"78"
"8",2021,"0050","444","0117",NA,NA,"MISC. COLLECTION-GRANTS",2967253.73,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1",NA,NA,"MISC. COLLECTION-GRANTS","MISC. COLLECTION-GRANTS","MISC. COLLECTION-GRANTS","78",".",NA,0,NA,NA,0,"78"
"9",2021,"0457","416","0118",NA,NA,"INSURANCE PREMIUM-EMPLOYEES",1021379.85,NA,"GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT","I","STATE TRUST FUNDS","0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1",NA,NA,"INSURANCE PREMIUM-EMPLOYEES","INSURANCE PREMIUM-EMPLOYEES","INSURANCE PREMIUM-EMPLOYEES","78",".",NA,0,NA,NA,0,"78"
"10",2021,"0907","416","0118",NA,NA,"INSURANCE PREMIUM-EMPLOYEES",8769525.29,NA,"HEALTH INSURANCE RESERVE","CENTRAL MANAGEMENT","D","SPECIAL STATE FUNDS","0907","0907","0",NA,"1","HEALTH INSURANCE RESERVE","D","Special State Funds","1","1",NA,NA,"INSURANCE PREMIUM-EMPLOYEES","INSURANCE PREMIUM-EMPLOYEES","INSURANCE PREMIUM-EMPLOYEES","78",".",NA,0,NA,NA,0,"78"
