year,AGING ($ mil.),AGRICULTURE ($ mil.),CENTRAL MANAGEMENT ($ mil.),CHILDREN AND FAMILY SERVICES ($ mil.),COMMERCE AND ECONOMIC OPPORTUNITY ($ mil.),NATURAL RESOURCES ($ mil.),CORRECTION ($ mil.)S,EMPLOYMENT SECURITY ($ mil.),HUMAN SERVICES ($ mil.),HEALTHCARE & FAM SER NET OF MEDICAID ($ mil.),PUBLIC HEALTH ($ mil.),REVENUE ($ mil.),TRANSPORTATION ($ mil.),ENVIRONMENTAL PROTECT AGENCY ($ mil.),IL STATE TOLL HIGHWAY AUTH ($ mil.),IL COMMUNITY COLLEGE BOARD ($ mil.),IL STUDENT ASSISTANCE COMM ($ mil.),LEGISLATIVE ($ mil.),JUDICIAL ($ mil.),ELECTED OFFICERS ($ mil.),PUBLIC SAFETY ($ mil.),BUS & PROFESSION REGULATION ($ mil.),MEDICAID ($ mil.),CAPITAL IMPROVEMENT ($ mil.),OTHER DEPARTMENTS ($ mil.),OTHER BOARDS & COMMISSIONS ($ mil.),K-12 EDUCATION ($ mil.),UNIVERSITY EDUCATION ($ mil.),DEBT SERVICE ($ mil.),STATE EMPLOYEE HEALTHCARE ($ mil.),STATE PENSION CONTRIBUTION ($ mil.),LOCAL GOVT REVENUE SHARE ($ mil.),Total
1998,214.77122968,73.50042594,423.60951816000005,1289.56339121,463.81618836,194.89239396000002,958.59698947,175.75534396,3888.5689404600002,109.58750706999999,158.4044241,414.24776431,1957.48413827,307.81796487,367.42032926,284.52044905,481.27197434999994,59.49046214,262.75819552,399.14064777,426.30459976,149.87525119,5398.44057766,256.16808825,397.04004947,92.45354959999999,5070.08825704,1315.1996410899999,484.53383483,608.55917178,914.57646561,3476.47340622,31074.93117041
1999,235.903034,88.21554232000001,469.51687760000004,1329.34485567,524.1481648399999,231.22826156,1045.72673118,176.34769749,4060.4600191600002,114.69215114000001,165.10762511000001,432.70418227,1864.9061863099998,316.94037436,461.11222988,304.96685668000003,489.48326191,62.18552442,289.35690238,427.05080712,446.14314328,160.54919709,5767.25773417,399.97357301,371.63682897,104.39273953,5589.444159279999,1390.77219844,507.52762319,650.3491426800001,1148.0211336200002,4031.5164429099996,33656.98120157
2000,260.62614194,103.06928779,483.39344232999997,1341.5434022,704.6414518500001,271.14357793,1127.0670121800001,180.8863797,4167.302961949999,134.93282343,180.39286230000002,438.01481872000005,2448.11467302,355.48955874,434.67865002999997,308.64250547,503.72963244,67.9300845,325.18163279000004,471.47725894,469.34207338,131.47646284,6442.31650401,828.4629936900001,376.04716161,129.04312993000002,6026.2937197,1468.7393273900002,543.84052911,795.21132928,1246.6753214999999,4366.14101383,37131.84772452
2001,283.86681541,114.71194993,489.33116483,1357.08359046,763.42163682,311.92955897,1201.67905289,282.39225598,4483.10345656,133.86301818,222.12913584,518.8181735,2683.11550823,389.15989298,346.13919503,327.96652534000003,547.55653672,73.03187406,335.15047582,539.7680649700001,491.32241862,139.41899584,7187.341484529999,890.31182376,382.68138056,137.58000557,6391.72170938,1550.45837555,590.04423966,849.6254587,1363.44399604,4471.93355919,39850.10132992
2002,297.38686848000003,115.46288658,485.2488773,1344.7420498800002,811.33504932,352.02856152,1257.93671002,340.08747237,4494.54206616,140.61213985999998,265.6472456,663.82363314,3187.28685106,466.59616722000004,392.74387821,402.53943943,592.7127281100001,78.64442212,366.72732849,562.3787700299999,489.28525106,143.76825613,7291.78917015,1149.63130224,365.11791098000003,141.65180003999998,6631.720569550001,1677.93067195,640.25704888,896.02993972,1475.61241097,4300.10066935,41821.37814592
2003,303.9372733,90.39480834999999,492.77463824,1281.91899851,829.50182164,316.20991506,1173.4439894500001,377.17937207,4409.23100287,297.952754,241.49119933,524.9761298,3256.09034136,463.18215679,360.73293909,417.72344698,581.9189683999999,72.29653344,360.69802439999995,543.5325294600001,502.22038373000004,142.30899353,7900.568223480001,1075.84106993,370.89420545,90.14081893000001,6692.487175310001,1569.53522315,731.2021835500001,1139.1535187700001,1620.81542349,4119.48820917,42349.84227103
2004,313.84670726,82.17877873,579.1402208,1251.76522313,925.8957514800001,275.85093077,1195.33124447,207.6243794,4598.649106229999,288.24236038,264.28352049,796.1305006499999,2971.58746131,560.91563637,417.18865935,388.41172642000004,560.42920581,72.56537508,355.85573671,514.84903766,473.33190695999997,133.90031469,10061.413063850001,833.46807446,92.09464492999999,85.07983468,7127.60129257,1441.72530187,1288.58426201,1242.63780801,9050.96880889,4256.60560819,52708.15248361
2005,402.26486306,71.36042595,709.78172758,1209.53077992,421.60696681,238.98210637,1172.78274506,190.33150361,4687.61580896,475.79135018,288.15293704000004,693.33928039,2626.02761057,379.32073474000003,479.32018221,394.8518902,569.42167211,73.66496575,368.38813488,519.2550354599999,530.55712807,170.47377795,9529.546222559999,581.60258988,90.52925464,92.09652734999999,7572.67212166,1390.62419068,1351.8173164500001,1329.94637676,1738.12311596,4674.178671850001,45023.95801466
2006,420.41528929000003,82.08503561,689.36482638,1227.4817698999998,593.88780962,240.90985131,1187.3052301500002,200.49340141,4810.77716171,719.9213894400001,293.31122662,808.0224367899999,2762.87048777,376.86206382,1073.7547139,395.97344411,602.72744502,76.02374542,334.85299815999997,578.2664911100001,599.67514171,178.95698656,10465.75244916,492.8022843,93.62007820000001,159.00272721000002,7876.77796471,1382.55507601,1415.45327269,1421.44486961,889.8309121999998,5203.7770244,47654.9556043
2007,488.15850058999996,83.02159876,709.1554693400001,1242.99745841,598.70945498,261.78456206,1124.85810214,189.15823021,4893.276761939999,675.80722333,325.93120524,825.9056067099999,3000.98608659,415.50830613,1432.8793855899999,401.00333247,682.1816854000001,81.61220353,344.75798605,632.25743239,738.96151491,199.83522675999998,11198.462198,388.85284561000003,102.69416896,145.36909392,8269.43109392,1401.72030237,1417.2083298799998,1533.41420683,1281.43380664,5578.12285448,50665.45623414
2008,526.5490850399999,83.92208075,721.63208492,1238.43819298,438.17461413,236.95390063999997,1170.37258852,193.05941675,5104.35728531,686.19588115,349.61818869999996,823.22153732,2796.8138719000003,396.79449946,1587.69669403,402.60891344,695.5804715600001,80.04367520999999,355.69190012,645.49517347,743.47594039,197.54950341,12699.20047202,261.10366582,110.74066038,118.80997533,8877.81716739,1421.0484407899999,1414.2337261,1559.3176877,1866.7646888900001,5873.26115267,53676.54313629
