year,"INDIVIDUAL INCOME TAXES, gross of local, net of refunds ($ mil.)","CORPORATE INCOME TAXES, gross of PPRT, net of refunds ($ mil.)","SALES TAXES, gross of local share ($ mil.)","MOTOR FUEL TAX, gross of local share, net of refunds ($ mil.)","PUBLIC UTILITY TAXES, gross of PPRT ($ mil.)",CIGARETTE TAXES ($ mil.),LIQUOR GALLONAGE TAXES ($ mil.),INHERITANCE TAX ($ mil.),"INSURANCE TAXES&FEES&LICENSES, net of refunds ($ mil.)",CORP FRANCHISE TAXES & FEES ($ mil.),MEDICAL PROVIDER ASSESSMENTS ($ mil.),LOTTERY RECEIPTS ($ mil.),OTHER TAXES ($ mil.),RECEIPTS FROM REVENUE PRODUCNG ($ mil.),"LICENSES, FEES & REGISTRATIONS ($ mil.)",MOTOR VEHICLE AND OPERATORS ($ mil.),RIVERBOAT WAGERING TAXES ($ mil.),GIFTS AND BEQUESTS ($ mil.),FEDERAL OTHER ($ mil.),FEDERAL MEDICAID ($ mil.),FEDERAL TRANSPORTATION ($ mil.),"ALL OTHER SOURCES, adjusted ($ mil.)",Total
1998,6333.821009,1631.223517,7198.400855,1290.732074,1193.327765,464.2420942,57.03394553,246.0342039,132.3373376,122.7717148,543.153837,834.6949295,235.3358571,727.725154,306.2024185,747.4372095,210.4965091,138.1076479,3743.897811,3339.058569,835.1585306,812.3803587,31143.57335
1999,6608.854936,1577.384631,7646.72796,1316.468642,1423.402398,499.0560197,57.23468337,342.801864,248.5649941,121.347567,548.5762785,844.8850226,244.3885769,715.9857228,336.4138758,773.0030161,309.8294588,157.9743582,3913.799171,3599.680071,725.9853555,889.3239869,32901.68859
2000,6910.387768,1697.625751,8218.147868,1339.873138,1524.36905,467.3495377,127.8682399,340.9422546,266.3426198,143.9241533,649.1760273,814.2805806,240.4470214,736.8124746,419.8084767,973.4302784,435.9784157,180.3468622,4212.640248,3763.415796,927.4699698,1323.198699,35713.83523
2001,7155.534457,1550.284986,8175.164489,1353.934773,1605.877782,472.6152376,124.3148226,353.5388338,293.0716292,150.6892596,678.1500717,765.0459257,247.7664221,743.0529884,542.7405273,1134.520304,490.7098649,202.979996,4293.907771,4355.735472,1019.212717,1288.802407,36997.65074
2002,6638.629352,1172.340691,8279.111514,1357.864762,1568.098482,468.7761415,122.0004913,322.1221306,320.7237401,165.3038543,655.9115494,825.5416225,250.6121503,749.8396956,564.848889,1177.663394,540.3112647,250.1361622,4568.28594,4484.163175,995.8889241,1181.923144,36660.09707
2003,6095.882992,936.2045346,8227.828256,1373.787862,1439.251761,699.7512217,122.7670017,230.3980056,369.5526202,147.4288943,817.9764447,817.0445968,249.1740729,742.1437506,556.5935591,1107.275693,615.9941711,351.0741831,5009.958642,4673.565524,846.3241898,1200.488651,36630.46663
2004,6170.381362,987.3950079,8636.674563,1405.89468,1536.121532,760.2272844,126.7708251,214.7348817,470.4077918,169.4077209,901.1003701,879.9044774,281.2235461,866.0812068,813.5687774,1161.742282,708.20931,538.6649822,5564.661965,6359.505718,998.6016089,1116.092407,40667.3723
2005,6935.970037,1604.346258,8980.958682,1419.872514,1501.032446,656.4726572,147.2375793,301.4212743,432.6171584,189.7032517,1601.335503,903.4690904,315.9620483,823.60362,876.1433035,1168.757171,751.6648043,627.4336855,5312.856754,5853.287827,1001.768906,1267.195105,42673.10968
2006,7537.442892,2061.180098,9638.334343,1430.052401,1549.563167,640.3340617,152.2998071,263.1216424,403.4164215,189.1276636,889.6801049,981.0635082,344.7026365,878.3028755,808.4359792,1295.887735,766.5279082,728.4933847,5210.832989,5996.508284,1141.153352,1592.732824,44499.19408
2007,8270.777715,2644.606321,9785.236294,1439.74362,1604.178611,638.7958567,155.6804057,255.3953793,406.4171446,201.3656037,1528.863525,956.9056655,347.6011,1108.444831,794.3925912,1288.07288,763.9174927,401.6625298,5523.924064,6420.816571,1159.12137,2119.117404,47815.03697
2008,9105.354392,2934.790234,9993.849864,1318.654778,1635.531237,613.6504485,158.0661282,363.7977098,399.2171926,234.4921889,2189.189552,991.7325449,339.1037389,910.8990702,835.7443245,1301.544558,639.8651113,428.3948664,5424.689925,6888.904298,1366.73868,1908.916657,49983.1275
2009,7857.919255,2539.647642,9298.436266,1451.393137,1666.681274,582.3265889,157.6212228,278.7399835,439.4030113,209.8292952,1723.945649,988.5008576,284.0288254,876.7865094,756.7603809,1302.285964,506.8994183,488.7321,7950.317333,7043.229371,1383.940785,1835.472839,49622.89771
2010,7174.102866,2195.778244,8789.064695,1318.212091,1571.654483,581.816646,175.8525415,243.3789785,425.1264733,216.4433985,1574.871576,1070.525564,259.5309859,886.5309972,830.5223333,1369.989695,442.0177538,560.3613655,9052.448003,7326.533417,1885.469711,1619.195192,49569.42701
2011,9694.390509,2964.549469,9513.531542,1296.416615,1624.16839,588.2666333,182.2607177,122.2436103,422.4265129,215.0423709,1634.994204,1091.021205,282.2114569,1324.599097,866.0264237,1493.525987,443.1811121,912.7283427,8378.650269,8124.236634,1915.929259,1366.101235,54456.5016
2012,14145.15176,2707.637213,10002.66375,1270.65279,1480.687561,606.4217399,279.2704248,226.5095793,443.4822022,199.6071145,1677.441222,1272.693468,298.216222,1693.625708,1026.868421,1497.951654,490.8391747,673.9194996,6413.799999,6528.295469,1844.52669,1194.475309,55974.73697
2013,14804.31445,3923.825821,10235.63981,1241.854475,1506.938807,856.3379726,279.9299896,279.8808917,454.1306192,212.8755572,1656.300212,1379.162943,349.5113458,1985.964205,1131.233337,1462.173521,515.7092671,780.0843134,6268.954414,8285.531644,1704.991587,1211.969822,60527.315
2014,14714.69772,3906.863644,10654.34651,1276.421064,1454.499658,859.865932,279.5871786,259.0932099,454.1284291,211.1444311,2413.046803,1334.946593,469.4708121,1958.571269,1191.352814,1510.801574,477.367143,597.0448476,6462.116606,8878.043998,1738.333217,1258.542022,62360.28547
2015,13994.0493,3538.463324,11148.45814,1276.252723,1475.679922,861.9537311,283.1771798,312.2970015,466.696156,219.3942276,1961.276781,1261.479507,614.3246067,2116.043004,1223.018103,1539.270586,466.2406028,699.8229733,6212.429314,10491.23628,2030.93432,1536.79406,63729.29184
2016,11950.11109,2914.860425,11307.02487,1334.827975,1405.659239,844.9288498,287.8651045,291.3491959,519.4885744,215.6642386,1951.69787,1303.367208,695.1898179,2196.981334,1219.594353,1551.975975,442.7566428,937.0537915,5904.402401,11246.69539,1845.431838,1258.190636,61625.11682
2017,11737.92531,2389.034746,11384.59206,1328.748462,1396.157543,781.5292865,294.3043524,254.646075,529.6620069,215.1314725,2137.62069,1244.417325,755.6469757,2221.407047,1206.939019,1585.448788,439.5285661,1127.6678,5933.826932,10448.32276,2105.46272,1484.383703,61002.40364
2018,16831.70226,2862.282253,11744.81793,1345.933255,1431.411571,764.294791,296.1625317,344.3660777,560.76903,215.8446401,2204.528081,1260.711575,819.78411,2476.672629,1218.895778,1483.020025,433.5740723,1206.519131,5802.463947,13474.6121,1593.220145,1755.714221,70127.30016
2019,18280.8774,3669.973753,12454.36864,1335.120151,1474.32796,769.4751665,297.2491527,377.1887745,521.9916954,256.6986996,2376.18456,1326.413321,896.9326999,2589.979007,1178.24048,1599.24629,422.6914073,1114.540143,5942.081609,12066.8202,1362.675926,1494.359454,71807.43648
2020,17610.40079,3244.695686,12252.25177,2289.988976,1424.116093,850.5633598,302.7744914,270.548432,477.9393433,219.1143923,3473.838568,1158.671057,822.916948,2174.195614,1419.253695,1458.091336,326.237203,918.0735369,9705.12243,13841.84691,1783.520516,1768.277463,77792.43861
