Sum of expenditure,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Grand Total
1160,"35,619,815","34,202,120","32,879,748","31,756,083","32,441,946","30,656,718","33,794,424","33,620,407","32,237,806","31,069,948","28,685,897","24,265,716","24,119,438","157,893,431","121,847,275","83,106,003","53,956,310","111,532,358","66,401,056","75,064,232","80,630,015","77,306,418","73,005,805","4,405,486","3,366,438","1,313,864,894"
1161,"2,171,466,757","2,155,459,011","2,067,913,131","1,811,428,513","1,716,658,536","1,665,192,944","1,770,914,337","1,551,165,355","1,486,001,817","1,438,092,604","1,263,067,764","317,588,759","277,728,559","596,956,442","467,073,049","308,344,974","199,138,117","397,621,728","261,749,765","268,829,719","263,621,540","249,674,597","230,183,500","280,337,744","173,465,353","23,389,674,616"
1162,"1,883,279,000","1,780,767,000","1,639,734,000","1,440,154,000","1,414,307,606","1,501,426,000","1,411,480,000","1,347,200,000","1,311,766,000","1,252,800,000","750,485,000",,"8,542,833","150,072,000",,"65,065,395","86,641,900","116,878,628","222,060,000","252,986,000","232,124,000","222,934,000","215,547,000","205,268,900","186,040,434","17,697,559,695"
1163,"27,820,000","27,299,000","25,754,000","23,221,000","21,155,000","21,721,000","16,073,000","15,809,000","13,856,000","14,150,000","10,502,000","2,009,666",,"8,847,000","6,809,800","5,220,300","4,157,000","2,206,000","4,117,500","4,698,000","4,168,000","3,815,000","3,471,000","3,097,300","2,852,300","272,828,866"
1164,"152,422,000","148,618,000","144,160,000","140,469,000","135,962,000","131,334,000","132,060,000","133,982,000","126,808,000","88,210,000","63,628,000","15,041,832",,"59,983,000","46,872,500","35,236,800","29,189,400","15,090,000","26,247,001","29,148,000","25,232,000","22,048,000","19,228,000","16,473,100","14,601,800","1,752,044,433"
1165,,368,556,538,,,,"2,807",,"3,425","122,623",,"120,000","3,233","3,651","3,865","3,627","4,157","4,860","5,921","6,492","6,485","38,679","309,924","265,808","907,018"
1298,"3,200,000","2,300,000",,,"12,300,000","19,000,000","6,500,000","21,400,000","16,000,000",,,"745,546,497","809,401,372",,,,,,"1,554,924,744",,,,"18,000,000",,,"3,208,572,613"
1900,"300,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"300,000,000"
4431,"6,189,773,536","5,622,891,356","5,286,130,679","4,920,219,692","4,322,167,358","4,168,879,699","3,944,894,245","3,637,325,645","3,648,405,892","2,864,363,213","2,646,813,156","2,277,009,862","2,232,280,455","1,826,580,416","1,456,697,525","999,956,033","689,226,956","1,210,036,738","8,553,099,232","1,031,333,952","901,321,320","812,165,335","728,936,522","661,816,890","559,113,499","71,191,439,207"
Grand Total,"10,763,581,109","9,771,536,855","9,196,572,113","8,367,248,826","7,654,992,447","7,538,210,362","7,315,716,006","6,740,505,214","6,635,075,516","5,688,689,191","4,763,304,440","3,381,462,332","3,352,192,657","2,800,335,521","2,099,303,800","1,496,933,370","1,062,313,309","1,853,369,609","10,688,604,159","1,662,065,824","1,507,103,367","1,387,949,835","1,288,410,506","1,171,709,345","939,705,633","119,126,891,343"
