"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","med_option_recent","rev_type_new"
"1",2021,"0632","579","0002",NA,NA,"ADMIS TAX-RACETRACKS",10090.5,NA,"HORSE RACING","RACING BOARD","D","SPECIAL STATE FUNDS","0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78",".",NA,0,NA,0,"78"
"2",2022,"0632","579","0002",NA,"9999","ADMIS TAX-RACETRACKS",66845.85,"rev_ioc_22.08.01","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78",".",NA,0,NA,0,"78"
"3",2021,"0129","565","0003",NA,NA,"ADMIS TAX BOAT & GAMBLING",16071828,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78",".",NA,0,NA,0,"78"
"4",2022,"0129","565","0003",NA,"9999","ADMIS TAX BOAT & GAMBLING",25461609,"rev_ioc_22.08.01","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78",".",NA,0,NA,0,"78"
"5",2021,"0001","425","0004",NA,NA,"FIELD/AFTER CARE SERVICES",470.5,NA,"GENERAL REVENUE","JUVENILE JUSTICE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36",".",NA,0,NA,0,"36"
"6",2021,"0001","426","0004",NA,NA,"FIELD/AFTER CARE SERVICES",10197.3,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36",".",NA,0,NA,0,"36"
"7",2022,"0001","426","0004",NA,"9999","FIELD/AFTER CARE SERVICES",6110.37,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36",".",NA,0,NA,0,"36"
"8",2021,"0001","426","0005",NA,NA,"CENTRALIA CORRECTIONAL CTR",460.23,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CENTRALIA CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"9",2022,"0001","426","0005",NA,"9999","CENTRALIA CORRECTIONAL CTR",574.38,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CENTRALIA CORRECTIONAL CTR","36",".",NA,0,NA,0,"36"
"10",2021,"0001","426","0007",NA,NA,"JACKSONVILLE CORRECTION CTR",691.42,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","JACKSONVILLE CORRECTION CTR","36",".",NA,0,NA,0,"36"
